,User,Tweet
26,Oprah,@PaoloPresta I know you’ll mourn for a long time her physical presence.  But in her “continuation” —Now you have an Angel you can call by Name. 🙏🏾
27,Oprah,"Next time you receive change from a cashier, take a look at the palm of your hand: There's a chance Maya Angelou will be staring back at you on a quarter. This marks the first time a Black woman has appeared on one. What a beautiful moment. Maya, look at what you did! 🪙🙏🏾 https://t.co/nVUirrebmi"
28,Oprah,"Live now! Join us here for ""The Life You Want"" Class: https://t.co/3244XAXxKv https://t.co/pStUMVpY6l"
29,Oprah,It’s BYOB (bring your own bottle) tonight at @owntv with the second episode of @KingsOfNapa! It’s about a family who owns their own vineyard. The wine is delicious but the drama is even juicier! See y’all tonight at 8|7c🍷🍷🍷 #KingsOfNapa https://t.co/bPMVKzH2ni
30,Oprah,"Happy 10 years to my bestie @GayleKing, who's in the seat of her life! https://t.co/acpHSDk7qH"
31,Oprah,Sidney Poitier 🕊 https://t.co/otVjSFHaw8
32,Oprah,"HellURRRRRR. It's ME.
I'm ready for our sit down convo. Need to know what you'll be wearing so I can coordinate colors and set background. Have your people call my people. https://t.co/CO35M1HBOP"
33,Oprah,Celebrating 99 years of your love on the planet. Thank you Betty White 🙏🏾 https://t.co/NUmNq1BOZ9
34,Oprah,"One of the greatest most peaceful Souls has left the planet. A hope giver, peace maker, justice warrior. Thank you Archbishop Desmond Tutu 🙏🏾 https://t.co/HzyZHKiMef"
35,Oprah,Thank you dear sister ⁦@aliciakeys⁩ and to her son Egypt for a new favorite version of this classic 🌈🌈🌈  https://t.co/bwnNOMu0Sd
36,Oprah,And I need therapy to get “Easy On Me” out of my head 🤣 Congrats on releasing your truth today @adele!
37,Oprah,Who’s excited #30 is finally out? US! I’ve been singing the songs for a month now. “Hold On” will become an anthem around the world for anybody going through a struggle. “I Drink Wine” will be appreciated by all of us wine connoisseurs. https://t.co/fbSW6YH3Nt
38,Oprah,The Deeper The Roots: https://t.co/KJNF621Lro
39,Oprah,The Power of Women: https://t.co/SvcDc6xldT
40,Oprah,"We also have “The Deeper the Roots” by @MichaelDTubbs, a memoir from one of the nation’s youngest elected officials about hope and the city that raised him. You can buy purchase books wherever you buy your books from! Hope they find a home in your bookshelves 📖"
41,Oprah,First up is “The Power of Women” by the Nobel Peace Prize-winning Dr. @DenisMukwege. His urgent new book is a wake-up call that the violence against women remains pervasive. But his work with rape survivors in the Democratic Republic of Congo offers a profile in courage and hope.
42,Oprah,"It’s a great week at my imprint, An Oprah Book, because we are releasing TWO books out into the world: “The Power of Women” by Dr. @DenisMukwege and ""The Deeper the Roots"" by @MichaelDTubbs. https://t.co/sEm8ZVudN4"
43,Oprah,"I LOVE this show so much. Thank you all for echoing that Love by watching.Thank you to every cast member. All crew, Writers, Directors, @ava for another season that enhanced the Human in our Being #QUEENSUGAR"
44,Oprah,Quentin and Ashley loved your proposal now in front of millions.  May your life together be filled with all the big JOY of this moment. #AdeleOneNightOnly
45,Oprah,Let’s hear it for the Ladies in White suits those beautiful backup singers #AdeleOneNightOnly
46,Oprah,.@adele had us at hello! @lizzo what concert are we going to next?! 🤣🤣🤣 #AdeleOneNightOnly https://t.co/uLBWHGclkw
47,Oprah,Come join us 👇🏾 #AdeleOneNightOnly https://t.co/q6w3tnr9Go
48,Oprah,@carlyewisel Yes my 👏🏽👏🏽👏🏽 to the  Sally Lapointe team for working overtime.
49,Oprah,Today you’ll have a front row seat to her songs and her truth. #Adele One Night Only airs tonight at 8 pm PT/ 8:30 pm ET on @CBS!
50,Oprah,"…same thing. She said she just wanted an in-depth, wholesome explanation to the last six years of her life—and that’s exactly what you’ll be getting with this concert special."
51,Oprah,"I was excited to meet @adele for the first time ever and I’m glad she is as real &amp; down to earth as we believe her to be. Before any interview, I ask my guest for their intention for our conversation. I went to see Adele as she was getting ready in my guesthouse to ask her the… https://t.co/PlMEkK4rhI"
52,Oprah,"Get ready for a spectacular evening. The voice. The songs. The stories. The truth. 

@Adele One Night Only airs tomorrow November 14 at 8 pm PT/8:30 EST on @CBS. https://t.co/Xihb5OgQd2"
53,Oprah,@PaoloPresta Oooo what fun it was to pull off this surprise. 17 a lot o’years. Much growth. Congratulations.
54,Oprah,Tap here to watch our conversation now on @appletv+: https://t.co/7ShvNUyh96
55,Oprah,"My next guest on #TheOprahConversation is Will smith. His new memoir is inspiring, fun, and fantastic. #WillTheBook is EVERYTHING. It was a real joy for me to talk to him about his words, his new movie @KingRichardFilm, his life, and so much more. https://t.co/KGcN33q13y"
56,Oprah,"Tap here for the full list. Wishing you all a gratitude filled and healthy holiday season!

https://t.co/v938m1rPoZ"
57,Oprah,"In honor of this milestone, @oprahdaily is going big by focusing small. This year we’re celebrating small businesses, many that are owned by women and people of color."
58,Oprah,"#OprahsFavoriteThings started in 1996 with a set of pajamas that I loved so much that I just wanted to share them with my entire studio audience—and here we are, 25 years later! https://t.co/kj5QARYovd"
59,Oprah,@KellenTV I see you Kellen 👀
60,Oprah,@avaduvernayfans EVERY time🙌🏾🙌🏾#QueenSugar
61,Oprah,"Climate change, COVID, and the sense of division as a result of politics and isolation IS bewildering. Watch our conversation for free on @AppleTV+ here: https://t.co/Br7yX7PG4k"
62,Oprah,"I’m so excited to sit down and talk to Richard Powers, one of our greatest living writers, about my latest @oprahsbookclub pick “Bewilderment.” The title of the book is apt for our times. https://t.co/PEpptQWEZZ"
63,Oprah,@queenadelesIays We see you ! 👀
64,Oprah,Tap here to download your copy and follow us to watch my full announcement: https://t.co/psqr8ddBrc
65,Oprah,It’s a father and son story but it also serves as a cautionary tale that recognizes that our planet is in serious danger from climate change and that humanity is in serious danger because we’ve turned a blind eye to what doesn’t immediately affect us.
66,Oprah,"My next @oprahsbookclub pick is “Bewilderment” by Pulitzer Prize-winning author Richard Powers. The novel is about Theo and nine-year-old Robin who are grieving the loss of Alyssa, Theo’s wife and Robin’s mom. https://t.co/G1dR4PkKGR"
67,Oprah,This is destined to become a classic. Ailey Pearl Garfield and all that her family represents is now a part of us.  We will keep passing it on and finding our own Love Songs. Thank you for the fullness of this journey @BlkLibraryGirl @oprahsbookclub https://t.co/MjIOiP2y2n
68,Oprah,I felt it the first performance of opening night. Glad the #Tonys did too! Congratulations @adriennelwarren 🏆 https://t.co/ap9GaVFPws
69,Oprah,"Until then, watch our last joy ride here: https://t.co/smpFMo5GDC"
70,Oprah,"But if @Beyonce, @KELLYROWLAND, and @RealMichelleW want to go glamping with us, then I’d be game. https://t.co/rUwiU2KgZp"
71,Oprah,All good adventures (and @GayleKing's singing) must come to an end! Our final episode of @OprahDaily's The OG Chronicles: Joy Ride 2021 is available at https://t.co/xIyfVp0iQm. Gayle wants to visit Mount Rushmore or Niagara Falls next. Me? I say: There’s no place like home! https://t.co/7j6fUfMufh
72,Oprah,"Stream our conversation about her epic novel, “The Love Songs of W.E.B. Du Bois,” available now for free on Apple TV+:  https://t.co/Br7yX7PG4k"
73,Oprah,"For the last month, you’ve heard my thoughts on the latest @oprahsbookclub pick. You’ve seen @thandotalks read &amp; give us her takes. But now it’s time to hear from the award-winning author herself: @BlkLibraryGirl! https://t.co/HwTmlSlZWh"
74,Oprah,Lots of wearable “Excellence representation arrived today. Thank you @DeVonFranklin. I liked your shirt I wasn’t angling to get one but love ‘em all🖤 https://t.co/IaMbhymyh5
75,Oprah,And part 2 here: https://t.co/nWrRUE4B20
76,Oprah,"And listen to our latest conversation over at the @supersoul podcast. Part 1 here:
https://t.co/7idJw62t3R"
77,Oprah,"She took the thing that caused her the greatest angst and rage, and turned it into power. Tap the link here to purchase her powerful book:
https://t.co/6nHYTKgjkQ"
78,Oprah,"I’m so proud to publish @TaranaBurke's searing new memoir #Unbound under my book imprint #AnOprahBook. I had multiple aha moments reading it. The #MeToo founder opens up about sexual abuse, shame, and finding the capacity to love—and to lead. https://t.co/7OoxXGn7aN"
79,Oprah,"The last episode premieres next Thursday, September 23. And thank you to @katyperry for being such a great sport!"
80,Oprah,Visit https://t.co/xIyfVp0iQm or tap this link to watch the second installment of The OG Chronicles: Joy Ride 2021: https://t.co/xKhd4WfLqN
81,Oprah,"Daisy Dove’s mom took us to @chickenlittlesb and taught us how to swaddle, picked out everything @kirbybump will need, and helped Gayle narrow down the list of potential grandma names. Unfortunately, from my point of view, Gaia is still in the running. https://t.co/uem6yLsqoL"
82,Oprah,Up next on our @oprahdaily joy ride: Getting ready for @gayleking’s first grandbaby! I’m no help cause I know nothing about babies—which is why we tapped in new mom @katyperry to guide us. https://t.co/yZgiZ2u2hP
83,Oprah,@katyperry @GayleKing @kirbybump Thank you Daisy Dove’s mom for a fun afternoon! Now I’m well-versed on baby teeth 🤣
84,Oprah,Yes I read this. Found it striking. And haunting. What happens in just one family. https://t.co/tNP8CQ5yqs
85,Oprah,"Click here to watch the first episode of The OG Chronicles: Joy Ride 2021. The next episode comes out next Thursday, September 16!
https://t.co/2VeJh87O1z"
86,Oprah,"This time around we surprised @OprahDaily Insiders at their homes, shopped with @katyperry to prep for Gayle's first grand baby, and I survived Gayle’s singing yet again 😂 https://t.co/GhSddmnM2q"
87,Oprah,.@gayleking said it best: I don’t like to merge. I don’t like to park. I don’t like to pass cars. I don’t like highways. So I never thought I’d go on another road trip again—but here goes Gayle convincing me to join her on another adventure…15 years later. https://t.co/q9huAOUmLl
88,Oprah,@pastormontmc Ain’t that the truth! #QUEENSUGAR
89,Oprah,@KeriLHenderson YUP! Right where we headed.
90,Oprah,Hey Hey All.. thanks for being here for my favorite show which I’m hoping is one of yours. Season 6 Here we gooo!!  #QUEENSUGAR
91,Oprah,My favorite show in the world is back! Tune in to @QueenSugarOWN's sixth season premiere tonight at 8|7c on @OWNTV. @ava says get ready for some JOY—and I say get ready for the baby!! I’ll be live tweeting with y’all. See you then. https://t.co/NW7q90C03t
92,Oprah,@DavidBegnaud Got all the Feels.
93,Oprah,Tap here to download your copy: https://t.co/utiDWWHcRU
94,Oprah,"There’s family secrets! It’s modern yet historical. I envy everyone one of you that gets to read it for the first time. Simply put: It’s epic. We’re going to begin discussing it next week—and trust me, you’re gonna want to talk about it!"
95,Oprah,"My next @oprahsbookclub pick is “The Love Songs of W.E.B. Du Bois” by award-winning poet @BlkLibraryGirl! This novel beautifully chronicles African American history through the prism of one family, The Garfields. https://t.co/AAKyBZDDCA"
96,Oprah,"Stream our conversation about his debut novel, “The Sweetness of Water,” available now for free on @appletv+: 
https://t.co/Br7yX87hsU"
97,Oprah,You’ve heard my thoughts on the latest @oprahsbookclub pick &amp; I’ve read your insightful comments for the last month. You’ve even seen @thandotalks' impassioned reenactments every time she finishes parts of the book. But now it’s time to hear from the author himself: Nathan Harris https://t.co/cG0Z6dAU7j
98,Oprah,"Thank you to @tylerperry and the entire team for dedicating 8+ years of your life to #HAHN. To the actors, writers, producers, directors, assistants, crew, and everyone who touched this show: Take your bow! 👏🏾👏🏾👏🏾 @OWNTV https://t.co/JMwG7G9Odn"
99,Oprah,"I’m holding my breath , are y’all?We know it’s bout to Blow up round these parts. #HAHN @OWNTV"
100,Oprah,"Tonight, I sit down with @IAMJHUD in my rose garden to discuss how she was able to transcend herself and DO. THAT. THING. Hope you can join us at 10|9c on @OWNTV. https://t.co/8DwRgHwl5E"
101,Oprah,"From a young musical prodigy in the church to a civil rights activist to the genius behind the hits that transcend music, @IAMJHUD brings us her version of Aretha Franklin in the biopic #RESPECT. https://t.co/zzZjOtURud"
102,Oprah,.@TaranaBurke I just finished #UNBOUND. Searing. Powerful. Needed.!! Thank you.🙏🏾
103,Oprah,"Brava, brava @Basketballasart! You make us all P-R-O-U-D! 👏🏾👏🏾 https://t.co/R9J0fIufuV"
104,Oprah,"The last time we saw David, he was a 14-year-old boy dealing with all the pressures of boyhood. Now in season 2 of @davidmakesman his journey continues—but now as a grown man (with a beard &amp; everything). But his life is just as complicated. Watch it tonight at 9|8c on @OWNTV. https://t.co/eQeEtUOn6v"
105,Oprah,"Read their stories, brought to you by @Hearst and @Lexus, here: https://t.co/u1YPoTpKTS"
106,Oprah,"Civil rights pioneers, teachers, artists, lawyers, homemakers, and so many more. I’m proud to give a home to each one of these  stories at Oprah Daily and share them with you on this #Juneteenth and beyond."
107,Oprah,"Their experiences and wisdom can lead us to a better future if we’re open to receive it. What makes their stories even more poignant, is that young Black journalists and photographers captured their words and images in a spectrum of Black excellence."
108,Oprah,"I love that Juneteenth is now an official federal holiday. A time to honor our past and those who’ve forged a path to our present. Which is why I’m excited to present #LiftEveryVoice, a collection of powerful interviews with a highly regarded older generation of Black Americans. https://t.co/oPHUvelNJx"
109,Oprah,Thanks to you @reghud and Byron and your beautiful team for #HonoringOurKings . Beautiful execution.🙌🏾🙌🏾🙌🏼
110,Oprah,I love @GrandWailea so much that in 2006 I took 500 Harpo employees and their families to say thank you. And now I’m so excited these wonderful Fathers and their families get to delight in this great Hawaiian vacation haven! Thanks Carol Munroe at @HiltonHotels!
111,Oprah,@4kira4moms  we still 😢 over here. Charles you’re a hero husband and father. Turned your pain into something powerful.#HonoringOurKings
112,Oprah,@MrFatherRegistr Christopher thanks for shining your Magnificence so brightly we can see God’s Light shining thru you.Abundant Blessings to you and your baby girl.#HonoringOurKings
113,Oprah,Did y’all hear @DwyaneWade. So profound his words about fathering. Thank you for your honesty. 5th on the list looks good on you! #HonoringOurKings @OWNTV
114,Oprah,Let’s Widen the Screen so we can Widen our view! Thanks @ProcterGamble #HonoringourKings
115,Oprah,@KierGaines thank’s for your Leadership in healing other Black fathers. #HonoringOurKings
116,Oprah,Watching #OWNSpotlight #HonoringOurKings don’t you love that Randall aka @SterlingKBrown .  Thank you Sterling for hosting and producing with me.
117,Oprah,Hope to see y’all there—and Happy Father’s Day this weekend to all the fathers celebrating!
118,Oprah,"The incredible @SterlingKBrown is co-hosting with me, @dwyanewade, @johnlegend, @RealDLHughley, @deoncole, @TonyGonzalez88, &amp; @KevinHart4real are here to discuss the joys &amp; challenges of Black fatherhood, and we’ll be spotlighting every day dads whose souls are generated by love. https://t.co/32Rgmu3OLr"
119,Oprah,"Black fathers are truly kings who deserve to be honored as such. Which is why I invite you, your fathers, and your families to join us for the first-ever #OWNSpotlight: Honoring Our Kings, Celebrating Black Fatherhood, tonight at 9|8c on @OWNTV. https://t.co/X8zeoOvQFg"
120,Oprah,This is Nathan’s debut novel and I’m thrilled to introduce him to you all because you’re going to grow to love him and his work. Download your copy here and follow us to join the conversation: https://t.co/8d3015AUgA
121,Oprah,"As they walk off the plantation where they’ve watched their mother be sold off, they now face a whole new set of problems. What will freedom look like? Where do you go? Who can you trust?"
122,Oprah,"My next @oprahsbookclub is “The Sweetness of Water” by Nathan Harris. The novel is set in the fictional town of “old ox” Georgia at the end of the Civil War where we meet Prentiss and Landry, two brothers who have only known life as enslaved people. https://t.co/9tFLRfc4k0"
123,Oprah,"So with this special we are honoring the full, broad, deep, and wide reality of Black fatherhood. Hope you can join me and the phenomenal @SterlingKBrown this Tuesday 6/15 at 9|8c on @OWNTV as we honor our kings. https://t.co/CvE4Ddt87n"
124,Oprah,"#OWNSpotlight: Honoring Our Kings, Celebrating Black Fatherhood is a dream I’ve had for a long time. For far too long, there have been false and negative stereotypes about Black men, particularly Black fathers, that have seeped into culture through television and movies. https://t.co/V0agqyzDFy"
125,Oprah,Tonight's the night: @OprahDaily's Block Party with the cast of @intheheights! Sign up here to join us for FREE at 7 PM EST: https://t.co/009LqMx1sj 💃🏾💃🏾💃🏾 https://t.co/8aM0ofWbdx
126,Oprah,Wrote this down and on my way to laminate it 👏🏾👏🏾👏🏾 @iSmashFizzle @luvandkiwi https://t.co/VwMbcMYPml
127,Oprah,"Congrats, Ash! Change your Twitter bio now to “NYT bestselling author!” #SomebodysDaughter @iSmashFizzle https://t.co/RrMtjWQkJA"
128,Oprah,"And if you’re vaccinated and feeling safe, you can finally head to the movie theaters this weekend to watch it—it’s sensational 💃🏾 #InTheHeightsMovie"
129,Oprah,"We could all use a little song and a whole lotta dancing right now, which is why I'm throwing an @intheheights virtual block party this Thursday 6/10 at 7 PM EST over at @OprahDaily. The magnificent cast will join me, so click here to register for FREE: https://t.co/J11Z0VtuU6 https://t.co/bXXHGdbmPC"
130,Oprah,"Tap here to purchase the book, and you’ll be emailed a ticket to attend our virtual conversation on June 9: https://t.co/H7jI94wQUd"
131,Oprah,"But no matter what you're reading, it's finally summer, so grab a blanket, your pup, and a good book—cause there’s nothing like devouring an unforgettable story under the sun."
132,Oprah,"I saw so much of my own story in this beautifully written book by Ashley, who—like me—also had to overcome a challenging childhood growing up as a poor, Black girl. Her remarkable memoir about finding love, finding freedom, and finding herself will move you."
133,Oprah,I created #AnOprahBook imprint several years ago to put authentic stories out into the world—which is why I’m excited that we’re releasing @iSmashFizzle’s memoir #SomebodysDaughter today. https://t.co/44b3D70zbr
134,Oprah,@DreaTheReal @HarpoStudios Will get you an answer.
135,Oprah,"Watch “The Me You Can’t See: A Path Forward,” now available for FREE on @appletv+: https://t.co/vyO76itmCo"
136,Oprah,"If you finished watching my new docuseries #TheMeYouCantSee, you might be thinking “Now, what can I do?” My fellow co-producer Prince Harry and I sat back down with some of the world’s top mental health experts to discuss where we can all go from here. https://t.co/8qRIrwIh0h"
137,Oprah,"Thank you, Fawzi and Dr. Essam. I see you. Watch Fawzi’s story with Dr. Essam on #TheMeYouCantSee, available now on @AppleTV+: 
https://t.co/cgPvZazbtf"
138,Oprah,"It’s his job to help connect the current lives of young children to the souls and minds they left behind. And that’s what he’s trying to help Fawzi do: Process the trauma, find the good memories, and transform this traumatic experience into something good."
139,Oprah,"Enter Dr. @essamdaod, a child psychiatrist working with kids of Syrian refugees with his international aid organization @HumanityCrew. He believes that when you escape your troubled home, it’s not only your body that suffers and is in need of a doctor, but also your mind. https://t.co/ixR4XIh5Z9"
140,Oprah,"Now, he doesn’t like to think about it because it makes him cry, and he thinks the solution is to try and forget his brother. He’s experiencing trauma, but he’s too young to even know it...let alone have the tools to process it."
141,Oprah,"He’s experienced a lot in his 11 years on Earth, but the most traumatic experience was his brother being killed in a playground bombing. Fawzi and his mother ran to look for his brother when they found out but he had been blown to pieces."
142,Oprah,"The Me You Can’t See: Fawzi, suffering from childhood trauma. After trying to flee war-filled Syria three times by boat, Fawzi finally made it to a remote refugee camp in Greece."
143,Oprah,"The Me You Can See: Fawzi, an 11-year-old who loves to play with his friends. https://t.co/gySlk8Rok4"
144,Oprah,"Watch Rashad’s story on #TheMeYouCantSee, now available on @AppleTV+: 
https://t.co/cgPvZazbtf"
145,Oprah,"Now, he’s realized that in order to finally be free, he has to rip the mask off—so he’s going to therapy, no matter how hard it may be. Thank you, Rashad. I see you."
146,Oprah,"You go to church, take it to God, and everything will be just fine. But dealing with all of his pain on his own made him lose his passion for cooking; to this day, he can’t even watch his episode of Chopped because he was in so much internal pain while filming the show."
147,Oprah,"He was taught to push it all down, put on a mask, smile, and fake it, even when he was feeling completely broken inside. Because he says in much of the Black community, therapy is taboo, speaking to a therapist was out of the question."
148,Oprah,"The Me You Can’t See: Rashad, living with depression and anxiety. Rashad says he’s seen a lot of things in his life, from his house being raided as a kid to his dad going to jail—and all that childhood trauma led him to a place of depression. https://t.co/B5aVF6Pf5i"
149,Oprah,"The Me You Can See: Chef Rashad Armstead, a successful chef and a winner of the Food Network show #Chopped. https://t.co/ETZ4gGhmmH"
150,Oprah,"A year ago today we didn’t know his name, but now it’s forever etched in our consciousness: #GeorgeFloyd. 

(🎨: @N_du_Time for @OprahDaily) https://t.co/I0zpkuqGUy"
151,Oprah,"Watch Ginny’s story on #TheMeYouCantSee, now available on @appleTV+: https://t.co/cgPvZazbtf"
152,Oprah,"It wasn’t until she got stuck in a viscous cycle of cleaning where she only slept for 2 hours in 3 days that she experienced a mental breakdown—&amp; decided to seek help. She says that coming out with her OCD struggles is helping her understand it more. Thank you, Ginny. I see you."
153,Oprah,"She’ll clean her room until 5 AM, wash her hands in a specific pattern for an extended period of time, or go through multiple toothbrushes during one teeth-cleaning session."
154,Oprah,"There are various types of OCD, but Ginny’s specifically manifests in a fear of contamination. The feeling of disgust is so unpleasant and intolerable that it feels like it’ll last forever, so she tries to get rid of that uncomfortable feeling."
155,Oprah,"The Me You Can’t See: Ginny Fuchs, living with OCD. In middle school, Ginny went to seek inpatient treatment for her anorexia. It was there that doctors discovered what was causing her eating disorder: An obsessive compulsive disorder. https://t.co/GiazoyIrRF"
156,Oprah,"The Me You Can See: @GinnyFuchsUSA, the #3 ranked boxer in the world, on her way to this year’s Olympics. https://t.co/kYiRy1Wu8w"
157,Oprah,"Widen The Screen: A Fuller View of Black Life, presented by @ProcterGamble, airs this Tuesday 5/25 at 8|7c on @OWNTV. We’ll be celebrating Black stories and featuring short films and new content by Black creators—hope to see y’all there! #WidenTheScreen https://t.co/aGFJKrDz97"
158,Oprah,"Watch Stefani’s story on #TheMeYouCantSee, now available on @AppleTV+: 
https://t.co/cgPvZazbtf"
159,Oprah,"She’s learned to pull herself out of dark places with the help of doctors, medicine, and coping mechanisms—and happened to win an Oscar during that process. Now, instead of locking away that experience, she’s trying to give back by sharing it. Thank you, Stefani. I see you."
160,Oprah,"Through the years, this trauma remained unprocessed, resulting in Stefani cutting herself, experiencing a psychotic break, and finally being diagnosed with PTSD after going to the hospital for chronic pain."
161,Oprah,"The Me You Can’t See: Stefani Germanotta. While getting her start in the music industry at 19, Stefani was told by a producer to take off her clothes and threatened to have her music burned when she didn’t comply. She was raped. https://t.co/SpZXHCudl7"
162,Oprah,The Me You Can See: @ladygaga winning an Oscar in 2019. https://t.co/J4h03xNI1r
163,Oprah,@HumanityCrew @AppleTV Thank you for saving Lives.🙏🏾
164,Oprah,@annedellahines This alone makes all the challenges of filming and finishing this series during Covid worth it. I do hope you’re feeling better today. Tho I realize the grief comes in waves. Thank you and your husband for watching.
165,Oprah,"Watch our story on #TheMeYouCantSee, available now on @AppleTV+: https://t.co/cgPvZazbtf"
166,Oprah,"My 17-year relationship with Alex has caused me to look at mental health in a very different way than I had approached it before. I am very proud of her for sharing her truth, creating a better life for herself, and rising to her best self every single day."
167,Oprah,"Because of her traumatic upbringing, Alex was diagnosed with PTSD, something I was not equipped to handle. I’ve tried in many ways to help her, but I know now that PTSD is not something that just goes away; it's a lifelong journey, and we’re both learning."
168,Oprah,"All she needed was someone to believe in her, so I gave her my number and a scholarship—and we’ve been in each other’s lives ever since. What I didn’t know then was that I was stepping into something I did not understand."
169,Oprah,"The Me You Can’t See: Me and Alex. Many people don't remember that one of the people featured in that episode was a homeless girl by the name of Alex. In spite of everything that life had thrown her way, she still persevered and finished school. https://t.co/BaAMFbVLIt"
170,Oprah,"The Me You Can See: Me giving away cars. For over 17 years, that famous episode of me shouting “You get a car!” to deserving people in my studio audience has followed me. Videos, gifs, memes—you name it, I’ve seen it. https://t.co/nMA79JYnQY"
171,Oprah,@introvertnfj Agree. Hardest to edit also.
172,Oprah,@Bella_Mari4 @AppleNews @AppleTV Your realization alone was reason enough to do the series. I hope you thrive with the help.🙏🏾
173,Oprah,Click here to watch #TheMeYouCantSee: https://t.co/cgPvZazbtf
174,Oprah,Our intention is to lift the burden of shame that surrounds mental health. Our hope is that more people feel encouraged and comfortable having these conversations with loved ones and their communities. All episodes of #TheMeYouCantSee are available now on @AppleTV+.
